muMax,D_bm,bmMax,initIllumBmMean,Kprod_bla,Kdif,diff,diff0x
4.80E-05,0.257,6,3,1.13E-09,2.36E-05,6.870747753,6.438166961
4.80E-05,0.347,6,3,1.13E-09,2.36E-05,12.63427478,12.4367392
4.80E-05,0.0692,6,3,1.13E-09,2.36E-05,4.121304949,4.5738612
4.80E-05,0.288,6,3,1.13E-09,2.36E-05,8.744924371,8.415382575
4.80E-05,0.166,6,3,1.13E-09,2.36E-05,3.319033208,2.787406424
4.80E-05,0.759,6,3,1.13E-09,2.36E-05,41.2885728,41.0928224
4.80E-05,0.0112,6,3,1.13E-09,2.36E-05,6.357165158,8.629559382
4.80E-05,0.741,6,3,1.13E-09,2.36E-05,40.08844019,39.91801698
4.80E-05,0.49,6,3,1.13E-09,2.36E-05,22.7370273,22.68209498
4.80E-05,0.501,6,3,1.13E-09,2.36E-05,23.51647911,23.47252193
4.80E-05,0.427,6,3,1.13E-09,2.36E-05,18.25207812,18.15136445
4.80E-05,0.631,6,3,1.13E-09,2.36E-05,32.60255406,32.54529647
4.80E-05,0.692,6,3,1.13E-09,2.36E-05,36.78436757,36.6727176
4.80E-05,0.417,6,3,1.13E-09,2.36E-05,17.54005746,17.43202786
4.80E-05,0.145,6,3,1.13E-09,2.36E-05,3.133856746,2.627136522
4.80E-05,0.141,6,3,1.13E-09,2.36E-05,3.127685381,2.647011611
4.80E-05,0.055,6,3,1.13E-09,2.36E-05,4.513860499,5.241605733
4.80E-05,0.525,6,3,1.13E-09,2.36E-05,25.21254014,25.18635152
4.80E-05,0.0389,6,3,1.13E-09,2.36E-05,5.043520086,6.203174067
4.80E-05,0.251,6,3,1.13E-09,2.36E-05,6.533627543,6.091188397
4.80E-05,0.0813,6,3,1.13E-09,2.36E-05,3.834989652,4.070604089
4.80E-05,0.135,6,3,1.13E-09,2.36E-05,3.13342959,2.69047644
4.80E-05,0.479,6,3,1.13E-09,2.36E-05,21.95667568,21.89174082
4.80E-05,0.832,6,3,1.13E-09,2.36E-05,46.05646882,45.75517127
4.80E-05,0.0832,6,3,1.13E-09,2.36E-05,3.793377761,3.994423936
4.80E-05,0.0302,6,3,1.13E-09,2.36E-05,5.388437887,6.859392634
4.80E-05,0.912,6,3,1.13E-09,2.36E-05,51.08733475,50.66434196
4.80E-05,0.339,6,3,1.13E-09,2.36E-05,12.08815928,11.87685797
4.80E-05,0.0525,6,3,1.13E-09,2.36E-05,4.589867612,5.373254626
4.80E-05,0.182,6,3,1.13E-09,2.36E-05,3.629604178,3.141246889
4.80E-05,0.126,6,3,1.13E-09,2.36E-05,3.172540078,2.798348718
4.80E-05,0.102,6,3,1.13E-09,2.36E-05,3.442711958,3.315531542
4.80E-05,0.0186,6,3,1.13E-09,2.36E-05,5.935952272,7.862658863
4.80E-05,0.38,6,3,1.13E-09,2.36E-05,14.92294941,14.7820745
4.80E-05,0.0269,6,3,1.13E-09,2.36E-05,5.531627962,7.127620516
4.80E-05,0.263,6,3,1.13E-09,2.36E-05,7.218475117,6.798156597
4.80E-05,0.537,6,3,1.13E-09,2.36E-05,26.057004,26.03411067
4.80E-05,0.0447,6,3,1.13E-09,2.36E-05,4.8388439,5.816545734
4.80E-05,0.148,6,3,1.13E-09,2.36E-05,3.142524854,2.617314774
4.80E-05,0.0191,6,3,1.13E-09,2.36E-05,5.909588653,7.814762899
4.80E-05,0.0115,6,3,1.13E-09,2.36E-05,6.338781235,8.596152667
4.80E-05,0.0135,6,3,1.13E-09,2.36E-05,6.218917241,8.378441156
4.80E-05,0.123,6,3,1.13E-09,2.36E-05,3.190605931,2.838071689
4.80E-05,0.112,6,3,1.13E-09,2.36E-05,3.300894056,3.046916168
4.80E-05,0.0155,6,3,1.13E-09,2.36E-05,6.104698384,8.169840123
4.80E-05,0.0457,6,3,1.13E-09,2.36E-05,4.805821677,5.75663297
4.80E-05,0.107,6,3,1.13E-09,2.36E-05,3.368190435,3.175651025
4.80E-05,0.575,6,3,1.13E-09,2.36E-05,28.71846363,28.68492944
4.80E-05,0.0776,6,3,1.13E-09,2.36E-05,3.91887417,4.220902937
4.80E-05,0.0275,6,3,1.13E-09,2.36E-05,5.504968813,7.078028579
4.80E-05,0.158,6,3,1.13E-09,2.36E-05,3.214334406,2.667507099
4.80E-05,0.162,6,3,1.13E-09,2.36E-05,3.262879977,2.720176992
4.80E-05,0.0174,6,3,1.13E-09,2.36E-05,6.000157682,7.979286589
4.80E-05,0.0138,6,3,1.13E-09,2.36E-05,6.201442807,8.346607878
4.80E-05,0.151,6,3,1.13E-09,2.36E-05,3.156824416,2.620489752
4.80E-05,0.0229,6,3,1.13E-09,2.36E-05,5.717369268,7.469402082
4.80E-05,0.0363,6,3,1.13E-09,2.36E-05,5.141653907,6.391915104
4.80E-05,0.012,6,3,1.13E-09,2.36E-05,6.308325538,8.540825584
4.80E-05,0.0724,6,3,1.13E-09,2.36E-05,4.041757401,4.437229121
4.80E-05,0.204,6,3,1.13E-09,2.36E-05,4.31178706,3.887031624
4.80E-05,0.0129,6,3,1.13E-09,2.36E-05,6.254308246,8.442703787
4.80E-05,0.01,6,3,1.13E-09,2.36E-05,6.432246855,8.765682695
4.80E-05,0.017,6,3,1.13E-09,2.36E-05,6.021832891,8.018681565
4.80E-05,0.676,6,3,1.13E-09,2.36E-05,35.69420534,35.59895352
4.80E-05,0.0347,6,3,1.13E-09,2.36E-05,5.20426779,6.51114396
4.80E-05,0.851,6,3,1.13E-09,2.36E-05,47.27078692,46.9405958
4.80E-05,0.0575,6,3,1.13E-09,2.36E-05,4.439583518,5.115288841
4.80E-05,0.209,6,3,1.13E-09,2.36E-05,4.500786691,4.081284703
4.80E-05,0.0117,6,3,1.13E-09,2.36E-05,6.326545538,8.573916007
4.80E-05,0.0398,6,3,1.13E-09,2.36E-05,5.01051443,6.139845634
4.80E-05,0.708,6,3,1.13E-09,2.36E-05,37.86902673,37.73968701
4.80E-05,0.0479,6,3,1.13E-09,2.36E-05,4.73444281,5.628581542
4.80E-05,0.0204,6,3,1.13E-09,2.36E-05,5.842284601,7.69343306
4.80E-05,0.1,6,3,1.13E-09,2.36E-05,3.474535177,3.378617955
4.80E-05,0.813,6,3,1.13E-09,2.36E-05,44.83147159,44.55795964
4.80E-05,0.871,6,3,1.13E-09,2.36E-05,48.53592459,48.17534484
4.80E-05,0.0324,6,3,1.13E-09,2.36E-05,5.296953423,6.686658032
4.80E-05,0.129,6,3,1.13E-09,2.36E-05,3.156371832,2.7599531
4.80E-05,0.891,6,3,1.13E-09,2.36E-05,49.7880993,49.39665126
4.80E-05,0.2,6,3,1.13E-09,2.36E-05,4.167138972,3.737289328
4.80E-05,0.55,6,3,1.13E-09,2.36E-05,26.96958717,26.94411146
4.80E-05,0.603,6,3,1.13E-09,2.36E-05,30.6653968,30.6226721
4.80E-05,0.12,6,3,1.13E-09,2.36E-05,3.212640207,2.880305842
4.80E-05,0.977,6,3,1.13E-09,2.36E-05,54.99809617,54.49132113
4.80E-05,0.0741,6,3,1.13E-09,2.36E-05,4.000718033,4.365811823
4.80E-05,0.398,6,3,1.13E-09,2.36E-05,16.19172345,16.06935254
4.80E-05,0.0794,6,3,1.13E-09,2.36E-05,3.877694947,4.147443447
4.80E-05,0.0195,6,3,1.13E-09,2.36E-05,5.888615587,7.776696575
4.80E-05,0.234,6,3,1.13E-09,2.36E-05,5.626774599,5.193585854
4.80E-05,0.0851,6,3,1.13E-09,2.36E-05,3.752639538,3.918884346
4.80E-05,0.178,6,3,1.13E-09,2.36E-05,3.540248356,3.038878733
4.80E-05,0.0617,6,3,1.13E-09,2.36E-05,4.320006468,4.911849369
4.80E-05,0.0501,6,3,1.13E-09,2.36E-05,4.664692672,5.504865935
4.80E-05,0.282,6,3,1.13E-09,2.36E-05,8.371895852,8.022013108
4.80E-05,0.0158,6,3,1.13E-09,2.36E-05,6.087929626,8.139227607
4.80E-05,0.407,6,3,1.13E-09,2.36E-05,16.82938463,16.71432851
4.80E-05,0.0288,6,3,1.13E-09,2.36E-05,5.4481838,6.971791315
4.80E-05,0.224,6,3,1.13E-09,2.36E-05,5.139604145,4.715130064
4.80E-05,0.186,6,3,1.13E-09,2.36E-05,3.73188214,3.264444537
4.80E-05,0.0295,6,3,1.13E-09,2.36E-05,5.418087265,6.91531673
4.80E-05,0.0209,6,3,1.13E-09,2.36E-05,5.81685621,7.647935953
4.80E-05,0.776,6,3,1.13E-09,2.36E-05,42.4136952,42.19343905
4.80E-05,0.355,6,3,1.13E-09,2.36E-05,13.18416137,13.0030545
4.80E-05,0.0178,6,3,1.13E-09,2.36E-05,5.978595312,7.940120962
4.80E-05,0.038,6,3,1.13E-09,2.36E-05,5.076967466,6.267805979
4.80E-05,0.0955,6,3,1.13E-09,2.36E-05,3.550098529,3.528030855
4.80E-05,0.275,6,3,1.13E-09,2.36E-05,7.940899821,7.567831936
4.80E-05,0.0355,6,3,1.13E-09,2.36E-05,5.172797343,6.451213903
4.80E-05,0.447,6,3,1.13E-09,2.36E-05,19.6778965,19.59069049
4.80E-05,0.661,6,3,1.13E-09,2.36E-05,34.6676543,34.58643754
4.80E-05,0.646,6,3,1.13E-09,2.36E-05,33.63692562,33.5685034
4.80E-05,0.331,6,3,1.13E-09,2.36E-05,11.54656067,11.32041419
4.80E-05,0.214,6,3,1.13E-09,2.36E-05,4.701921253,4.285557986
4.80E-05,0.11,6,3,1.13E-09,2.36E-05,3.326549059,3.096638062
4.80E-05,0.24,6,3,1.13E-09,2.36E-05,5.937788124,5.498232357
4.80E-05,0.0107,6,3,1.13E-09,2.36E-05,6.388148213,8.685808775
4.80E-05,0.0537,6,3,1.13E-09,2.36E-05,4.553103369,5.308657609
4.80E-05,0.155,6,3,1.13E-09,2.36E-05,3.185491054,2.639382254
4.80E-05,0.02,6,3,1.13E-09,2.36E-05,5.862763985,7.730109884
4.80E-05,0.0224,6,3,1.13E-09,2.36E-05,5.741921757,7.513528811
4.80E-05,0.049,6,3,1.13E-09,2.36E-05,4.699376119,5.566259169
4.80E-05,0.324,6,3,1.13E-09,2.36E-05,11.07819954,10.83920198
4.80E-05,0.219,6,3,1.13E-09,2.36E-05,4.915963893,4.493706225
4.80E-05,0.0263,6,3,1.13E-09,2.36E-05,5.558570173,7.177646757
4.80E-05,0.0316,6,3,1.13E-09,2.36E-05,5.329908213,6.748886907
4.80E-05,0.115,6,3,1.13E-09,2.36E-05,3.264954114,2.975918805
4.80E-05,0.468,6,3,1.13E-09,2.36E-05,21.17500587,21.10082552
4.80E-05,0.0372,6,3,1.13E-09,2.36E-05,5.107235829,6.325879443
4.80E-05,0.132,6,3,1.13E-09,2.36E-05,3.142886029,2.722227762
4.80E-05,0.0234,6,3,1.13E-09,2.36E-05,5.693258668,7.425584569
4.80E-05,0.0105,6,3,1.13E-09,2.36E-05,6.400675271,8.708525767
4.80E-05,0.138,6,3,1.13E-09,2.36E-05,3.126811892,2.662958901
4.80E-05,0.195,6,3,1.13E-09,2.36E-05,3.998159316,3.563477095
4.80E-05,0.513,6,3,1.13E-09,2.36E-05,24.36556487,24.33175731
4.80E-05,0.0513,6,3,1.13E-09,2.36E-05,4.627032307,5.438695914
4.80E-05,0.105,6,3,1.13E-09,2.36E-05,3.397485108,3.230641644
4.80E-05,0.0245,6,3,1.13E-09,2.36E-05,5.641322798,7.330392921
4.80E-05,0.229,6,3,1.13E-09,2.36E-05,5.376730467,4.948191808
4.80E-05,0.0603,6,3,1.13E-09,2.36E-05,4.359426565,4.978533798
4.80E-05,0.0182,6,3,1.13E-09,2.36E-05,5.957233414,7.901297198
4.80E-05,0.0676,6,3,1.13E-09,2.36E-05,4.161916281,4.643233651
4.80E-05,0.437,6,3,1.13E-09,2.36E-05,18.96453392,18.87104573
4.80E-05,0.955,6,3,1.13E-09,2.36E-05,53.69198044,53.21251536
4.80E-05,0.794,6,3,1.13E-09,2.36E-05,43.59541658,43.34915279
4.80E-05,0.0148,6,3,1.13E-09,2.36E-05,6.144153855,8.241953669
4.80E-05,0.0871,6,3,1.13E-09,2.36E-05,3.711027863,3.840332174
4.80E-05,1,6,3,1.13E-09,2.36E-05,56.34564612,55.81011475
4.80E-05,0.0912,6,3,1.13E-09,2.36E-05,3.629618206,3.683850222
4.80E-05,0.0427,6,3,1.13E-09,2.36E-05,4.906925014,5.943491005
4.80E-05,0.269,6,3,1.13E-09,2.36E-05,7.576184062,7.182041241
4.80E-05,0.0123,6,3,1.13E-09,2.36E-05,6.290222999,8.507918088
4.80E-05,0.0661,6,3,1.13E-09,2.36E-05,4.200910771,4.709443224
4.80E-05,0.724,6,3,1.13E-09,2.36E-05,38.94821778,38.79966797
4.80E-05,0.0162,6,3,1.13E-09,2.36E-05,6.065724634,8.098638531
4.80E-05,0.245,6,3,1.13E-09,2.36E-05,6.205671683,5.762413355
4.80E-05,0.0132,6,3,1.13E-09,2.36E-05,6.236546775,8.410471717
4.80E-05,0.372,6,3,1.13E-09,2.36E-05,14.36333819,14.21143601
4.80E-05,0.562,6,3,1.13E-09,2.36E-05,27.81006687,27.78075348
4.80E-05,0.17,6,3,1.13E-09,2.36E-05,3.385273738,2.86069959
4.80E-05,0.302,6,3,1.13E-09,2.36E-05,9.633853772,9.345603954
4.80E-05,0.0562,6,3,1.13E-09,2.36E-05,4.478029935,5.18063347
4.80E-05,0.0589,6,3,1.13E-09,2.36E-05,4.399125833,5.045895748
4.80E-05,0.191,6,3,1.13E-09,2.36E-05,3.87342406,3.429986122
4.80E-05,0.174,6,3,1.13E-09,2.36E-05,3.459456031,2.946342253
4.80E-05,0.933,6,3,1.13E-09,2.36E-05,52.36880469,51.91684338
4.80E-05,0.0437,6,3,1.13E-09,2.36E-05,4.872338102,5.877987775
4.80E-05,0.316,6,3,1.13E-09,2.36E-05,10.54690775,10.29221663
4.80E-05,0.589,6,3,1.13E-09,2.36E-05,29.69346979,29.65558169
4.80E-05,0.0631,6,3,1.13E-09,2.36E-05,4.281479484,4.84593434
4.80E-05,0.0331,6,3,1.13E-09,2.36E-05,5.268395011,6.632738917
4.80E-05,0.0214,6,3,1.13E-09,2.36E-05,5.791678056,7.602747376
4.80E-05,0.0141,6,3,1.13E-09,2.36E-05,6.184136064,8.31497486
4.80E-05,0.0759,6,3,1.13E-09,2.36E-05,3.958324647,4.290972972
4.80E-05,0.117,6,3,1.13E-09,2.36E-05,3.242643418,2.933862954
4.80E-05,0.0407,6,3,1.13E-09,2.36E-05,4.977956239,6.077845581
4.80E-05,0.457,6,3,1.13E-09,2.36E-05,20.39135031,20.31011106
4.80E-05,0.0339,6,3,1.13E-09,2.36E-05,5.236024607,6.571623867
4.80E-05,0.295,6,3,1.13E-09,2.36E-05,9.186750883,8.879387187
4.80E-05,0.0468,6,3,1.13E-09,2.36E-05,4.769899733,5.691911424
4.80E-05,0.0219,6,3,1.13E-09,2.36E-05,5.766718876,7.557984644
4.80E-05,0.0102,6,3,1.13E-09,2.36E-05,6.419560466,8.742715011
4.80E-05,0.0646,6,3,1.13E-09,2.36E-05,4.240816595,4.776880834
4.80E-05,0.0166,6,3,1.13E-09,2.36E-05,6.043684602,8.058413394
4.80E-05,0.0126,6,3,1.13E-09,2.36E-05,6.272203209,8.475214272
4.80E-05,0.011,6,3,1.13E-09,2.36E-05,6.369515952,8.65202281
4.80E-05,0.309,6,3,1.13E-09,2.36E-05,10.08751768,9.816598222
4.80E-05,0.024,6,3,1.13E-09,2.36E-05,5.664767766,7.373439249
4.80E-05,0.0891,6,3,1.13E-09,2.36E-05,3.670622447,3.762584377
4.80E-05,0.0251,6,3,1.13E-09,2.36E-05,5.613402542,7.279046143
4.80E-05,0.0145,6,3,1.13E-09,2.36E-05,6.161211989,8.273144641
4.80E-05,0.0282,6,3,1.13E-09,2.36E-05,5.474215819,7.02058669
4.80E-05,0.0977,6,3,1.13E-09,2.36E-05,3.511775705,3.45311791
4.80E-05,0.363,6,3,1.13E-09,2.36E-05,13.73705553,13.57092639
4.80E-05,0.0417,6,3,1.13E-09,2.36E-05,4.942199313,6.010090629
4.80E-05,0.0309,6,3,1.13E-09,2.36E-05,5.359034323,6.803874147
4.80E-05,0.0933,6,3,1.13E-09,2.36E-05,3.58966046,3.605775298
4.80E-05,0.617,6,3,1.13E-09,2.36E-05,31.63514792,31.5858935
4.80E-05,0.0708,6,3,1.13E-09,2.36E-05,4.081174606,4.505157806
4.80E-05,0.0151,6,3,1.13E-09,2.36E-05,6.127173999,8.210903858
4.80E-05,0.0257,6,3,1.13E-09,2.36E-05,5.585816004,7.228138013
4.80E-05,0.389,6,3,1.13E-09,2.36E-05,15.55570085,15.42517922
